iter	Passed	Remaining
227	344	1164
228	344	1160
229	345	1156
230	346	1152
231	347	1148
232	347	1144
233	348	1141
234	349	1137
235	350	1133
236	350	1129
237	351	1126
238	352	1122
239	353	1118
240	353	1114
241	354	1111
242	355	1107
243	356	1104
244	357	1100
245	358	1098
246	359	1095
247	360	1092
248	361	1089
249	361	1085
250	362	1082
251	363	1078
252	364	1075
253	365	1072
254	365	1068
255	366	1065
256	367	1062
257	368	1058
258	368	1055
259	369	1052
260	370	1048
261	371	1045
262	372	1042
263	373	1041
264	374	1038
265	375	1035
266	375	1032
267	376	1028
268	377	1025
269	378	1022
270	378	1019
271	379	1016
272	380	1013
273	381	1010
274	382	1007
275	383	1004
276	383	1001
277	384	998
278	385	996
279	386	993
280	387	990
281	388	989
282	389	986
283	390	983
284	390	980
285	391	978
286	392	975
287	393	972
288	394	969
289	395	967
290	395	964
291	396	961
292	397	958
293	398	955
294	398	953
295	399	950
296	400	947
297	401	945
298	402	944
299	403	942
300	404	939
301	405	936
302	406	934
303	406	931
304	407	929
305	408	926
306	409	923
307	409	921
308	410	918
309	411	915
310	412	913
311	413	911
312	413	908
313	414	906
314	415	903
315	416	901
316	417	899
317	418	898
318	419	896
319	421	895
320	422	893
321	423	891
322	424	889
323	425	887
324	426	885
325	427	883
326	428	881
327	428	878
328	429	876
329	430	873
330	431	871
331	432	870
332	433	867
333	434	865
334	434	863
335	435	861
336	436	858
337	437	856
338	437	853
339	438	851
340	439	849
341	440	847
342	441	844
343	441	842
344	442	840
345	443	838
346	444	835
347	444	833
348	445	831
349	446	830
350	447	828
351	448	826
352	449	823
353	450	821
354	451	819
355	451	817
356	452	815
357	453	813
358	454	811
359	455	809
360	455	806
361	456	804
362	457	802
363	458	800
364	459	798
365	459	796
366	461	795
367	462	794
368	463	792
369	464	790
370	465	788
371	465	786
372	466	784
373	467	783
374	468	781
375	469	779
376	470	777
377	471	775
378	472	773
379	473	771
380	474	770
381	475	769
382	476	768
383	477	766
384	478	764
385	479	763
386	480	761
387	481	759
388	482	758
389	483	756
390	484	754
391	485	753
392	486	751
393	487	749
394	488	747
395	489	745
396	489	744
397	491	743
398	493	742
399	493	740
400	494	739
401	495	737
402	496	735
403	497	733
404	498	731
405	498	729
406	499	727
407	500	726
408	501	724
409	502	722
410	503	720
411	503	719
412	504	717
413	506	716
414	507	715
415	508	713
416	509	712
417	510	710
418	511	709
419	512	707
420	513	705
421	514	704
422	515	702
423	516	701
424	517	699
425	517	697
426	518	695
427	519	694
428	521	694
429	522	693
430	523	691
431	524	689
432	525	687
433	526	686
434	526	684
435	527	682
436	528	681
437	529	679
438	530	677
439	531	676
440	531	674
441	532	672
442	533	670
443	534	669
444	535	667
445	536	666
446	537	665
447	538	663
448	539	661
449	540	660
450	541	658
451	542	657
452	542	655
453	543	654
454	544	652
455	545	651
456	546	649
457	547	647
458	548	646
459	549	644
460	550	643
461	551	642
462	552	640
463	553	639
464	554	637
465	555	636
466	556	634
467	556	633
468	557	631
469	558	629
470	559	628
471	560	626
472	561	625
473	562	623
474	563	622
475	563	620
476	564	619
477	566	618
478	567	617
479	568	615
480	569	614
481	570	612
482	570	611
483	571	609
484	572	608
485	573	606
486	574	605
487	575	604
488	576	602
489	577	601
490	578	599
491	579	598
492	580	596
493	581	595
494	582	594
495	583	592
496	584	591
497	584	589
498	585	588
499	586	586
500	587	585
501	588	583
502	589	582
503	590	580
504	591	579
505	591	577
506	592	576
507	593	574
508	594	573
509	595	572
510	596	570
511	597	569
512	598	568
513	599	566
514	600	565
515	601	564
516	602	562
517	603	561
518	604	559
519	605	558
520	605	557
521	606	555
522	607	553
523	608	552
524	609	551
525	610	550
526	611	548
527	612	547
528	613	546
529	614	544
530	614	543
531	615	541
532	616	540
533	617	538
534	618	537
535	618	535
536	619	534
537	620	532
538	621	531
539	621	529
540	622	528
541	623	526
542	624	525
543	625	524
544	626	522
545	627	521
546	628	520
547	628	518
548	629	517
549	630	515
550	631	514
551	632	512
552	632	511
553	633	510
554	634	508
555	635	507
556	636	505
557	636	504
558	637	502
559	638	501
560	639	500
561	641	499
562	641	498
563	642	496
564	643	495
565	644	494
566	645	492
567	645	491
568	646	489
569	647	488
570	648	486
571	649	485
572	649	484
573	650	482
574	651	481
575	652	479
576	652	478
577	653	477
578	655	476
579	656	475
580	657	473
581	658	472
582	658	471
583	659	470
584	660	468
585	661	467
586	662	466
587	663	464
588	664	463
589	664	462
590	665	460
591	666	459
592	667	457
593	667	456
594	668	455
595	670	454
596	671	453
597	672	451
598	673	450
599	673	449
600	674	447
601	675	446
602	676	445
603	676	443
604	677	442
605	678	441
606	679	439
607	680	438
608	680	437
609	681	435
610	682	434
611	683	433
612	684	432
613	685	431
614	686	429
615	687	428
616	688	427
617	689	425
618	689	424
619	690	423
620	691	422
621	692	420
622	693	419
623	693	418
624	694	416
625	695	415
626	696	414
627	697	412
628	698	411
629	699	410
630	700	409
631	701	408
632	701	406
633	702	405
634	703	404
635	704	403
636	705	401
637	706	400
638	706	399
639	707	398
640	708	396
641	709	395
642	709	394
643	710	392
644	711	391
645	712	390
646	713	389
647	714	388
648	715	386
649	716	385
650	717	384
651	717	383
652	718	382
653	719	380
654	720	379
655	721	378
656	722	376
657	722	375
658	723	374
659	724	373
660	725	372
661	726	370
662	727	369
663	728	368
664	729	367
665	730	366
666	731	365
667	732	363
668	733	362
669	733	361
670	734	360
671	735	358
672	736	357
673	736	356
674	737	355
675	738	353
676	739	352
677	740	351
678	740	350
679	741	349
680	742	347
681	743	346
682	744	345
683	745	344
684	746	343
685	746	341
686	747	340
687	748	339
688	749	338
689	750	336
690	750	335
691	751	334
692	752	333
693	753	332
694	754	331
695	755	329
696	755	328
697	756	327
698	757	326
699	759	325
700	760	324
701	760	323
702	761	321
703	762	320
704	763	319
705	764	318
706	765	317
707	765	315
708	766	314
709	767	313
710	768	312
711	769	311
712	769	309
713	770	308
714	771	307
715	772	306
716	773	305
717	774	304
718	775	302
719	776	301
720	776	300
721	777	299
722	778	298
723	779	297
724	780	295
725	781	294
726	782	293
727	783	292
728	784	291
729	785	290
730	786	289
731	787	288
732	789	287
733	790	286
734	790	285
735	791	283
736	792	282
737	793	281
738	794	280
739	795	279
740	795	278
741	796	277
742	797	275
743	798	274
744	799	273
745	799	272
746	800	271
747	801	269
748	802	268
749	803	267
750	804	266
751	805	265
752	806	264
753	806	263
754	807	262
755	808	260
756	809	259
757	810	258
758	811	257
759	811	256
760	812	255
761	813	254
762	814	252
763	815	251
764	815	250
765	816	249
766	818	248
767	819	247
768	819	246
769	820	245
770	821	244
771	822	242
772	823	241
773	823	240
774	824	239
775	825	238
776	826	237
777	827	235
778	827	234
779	828	233
780	829	232
781	830	231
782	830	230
783	831	229
784	833	228
785	834	227
786	835	225
787	835	224
788	836	223
789	837	222
790	838	221
791	839	220
792	840	219
793	840	218
794	841	217
795	842	215
796	843	214
797	844	213
798	844	212
799	845	211
800	846	210
801	848	209
802	849	208
803	849	207
804	850	206
805	851	204
806	852	203
807	853	202
808	853	201
809	854	200
810	855	199
811	856	198
812	857	197
813	858	196
814	858	194
815	859	193
816	860	192
817	861	191
818	862	190
819	863	189
820	864	188
821	865	187
822	865	186
823	866	185
824	867	184
825	868	182
826	869	181
827	870	180
828	870	179
829	871	178
830	872	177
831	873	176
832	874	175
833	875	174
834	876	173
835	877	172
836	878	171
837	879	169
838	879	168
839	880	167
840	881	166
841	882	165
842	883	164
843	884	163
844	885	162
845	886	161
846	886	160
847	887	159
848	888	158
849	889	156
850	890	155
851	891	154
852	892	153
853	893	152
854	894	151
855	894	150
856	895	149
857	896	148
858	897	147
859	898	146
860	898	145
861	899	144
862	900	142
863	901	141
864	902	140
865	902	139
866	903	138
867	904	137
868	905	136
869	906	135
870	907	134
871	908	133
872	908	132
873	909	131
874	910	130
875	911	129
876	912	127
877	913	126
878	914	125
879	915	124
880	915	123
881	916	122
882	917	121
883	918	120
884	919	119
885	920	118
886	920	117
887	922	116
888	923	115
889	923	114
890	924	113
891	925	112
892	926	111
893	927	109
894	928	108
895	929	107
896	929	106
897	930	105
898	931	104
899	932	103
900	933	102
901	933	101
902	934	100
903	935	99
904	937	98
905	938	97
906	939	96
907	940	95
908	940	94
909	941	93
910	942	92
911	943	91
912	944	89
913	944	88
914	945	87
915	946	86
916	947	85
917	948	84
918	948	83
919	949	82
920	950	81
921	951	80
922	952	79
923	953	78
924	954	77
925	955	76
926	956	75
927	956	74
928	957	73
929	958	72
930	959	71
931	960	70
932	960	69
933	961	67
934	962	66
935	963	65
936	964	64
937	964	63
938	966	62
939	967	61
940	968	60
941	969	59
942	969	58
943	970	57
944	971	56
945	972	55
946	973	54
947	974	53
948	974	52
949	975	51
950	976	50
951	977	49
952	978	48
953	979	47
954	979	46
955	980	45
956	982	44
957	983	43
958	984	42
959	984	41
960	985	40
961	986	38
962	987	37
963	988	36
964	989	35
965	990	34
966	991	33
967	992	32
968	993	31
969	994	30
970	996	29
971	997	28
972	998	27
973	999	26
974	1000	25
975	1001	24
976	1002	23
977	1003	22
978	1004	21
979	1005	20
980	1006	19
981	1006	18
982	1007	17
983	1008	16
984	1009	15
985	1011	14
986	1012	13
987	1013	12
988	1014	11
989	1015	10
990	1016	9
991	1016	8
992	1017	7
993	1018	6
994	1019	5
995	1020	4
996	1021	3
997	1022	2
998	1023	1
999	1024	0
